event,magnitude,station,channel,original_file,renamed_to,p_arrival_theory,rms_noise,snr,noise_window_sec,signal_window_sec,sampling_rate,n_samples
aceh_m55,5.5,BKB,Z,BKB_Z_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:03.921914,1565.7884753217943,1.0309618069993338,10.0,5.0,20.0,12280
aceh_m55,5.5,BKB,N,BKB_N_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:03.921914,755.2633944525579,0.9297656268453852,10.0,5.0,20.0,12228
aceh_m55,5.5,BKB,E,BKB_E_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:03.921914,487.4962153699247,0.9589787543517037,10.0,5.0,20.0,12274
aceh_m55,5.5,BKNI,Z,BKNI_Z_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:09.748623,970.1606026839062,0.9845937329013957,10.0,5.0,20.0,12371
aceh_m55,5.5,BKNI,N,BKNI_N_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:09.748623,368.8685063813391,0.8831547808665536,10.0,5.0,20.0,12409
aceh_m55,5.5,BKNI,E,BKNI_E_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:09.748623,661.3793351776271,0.8658868981759269,10.0,5.0,20.0,12521
aceh_m55,5.5,PMBI,Z,PMBI_Z_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:20,4167.605742509721,1.0079388354595022,10.0,5.0,20.0,12328
aceh_m55,5.5,PMBI,N,PMBI_N_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:20,1036.8770201909192,0.8582798999669996,10.0,5.0,20.0,12221
aceh_m55,5.5,PMBI,E,PMBI_E_aceh_m55_20211221_122950.mseed,skipped,2021-12-21T12:30:20,831.1098062229804,0.8743514894059768,10.0,5.0,20.0,12232
jatim_m58,5.8,BNDI,Z,GE_BNDI_BHZ_20230408T094449_20230408T095502.mseed,BNDI_Z_jatim_m58_20211221_122950.mseed,2021-12-21T12:30:20,1245.834511482163,0.9037694954793769,10.0,5.0,20.0,12263
jatim_m58,5.8,BNDI,N,GE_BNDI_BHN_20230408T094453_20230408T095507.mseed,BNDI_N_jatim_m58_20211221_122950.mseed,2021-12-21T12:30:20,2218.354569269755,0.8084929656249485,10.0,5.0,20.0,12283
jatim_m58,5.8,BNDI,E,GE_BNDI_BHE_20230408T094454_20230408T095500.mseed,BNDI_E_jatim_m58_20211221_122950.mseed,2021-12-21T12:30:20,1534.8741039577155,1.0230951388119196,10.0,5.0,20.0,12117
papua_m59,5.9,BKB,Z,GE_BKB_BHZ_20250726T003357_20250726T003905.mseed,BKB_Z_papua_m59_20211221_122950.mseed,2021-12-21T12:37:47.420329,1026.8845017819676,0.9699499008922922,10.0,5.0,20.0,6149
papua_m59,5.9,BKB,N,GE_BKB_BHN_20250726T003351_20250726T003909.mseed,BKB_N_papua_m59_20211221_122950.mseed,2021-12-21T12:37:47.420329,1499.931295093212,1.0232461274236508,10.0,5.0,20.0,6354
papua_m59,5.9,BKB,E,GE_BKB_BHE_20250726T003359_20250726T003901.mseed,BKB_E_papua_m59_20211221_122950.mseed,2021-12-21T12:37:47.420329,1807.2668922989765,0.9636238166314967,10.0,5.0,20.0,6034
papua_m59,5.9,BNDI,Z,GE_BNDI_BHZ_20250726T003347_20250726T003907.mseed,BNDI_Z_papua_m59_20211221_122950.mseed,2021-12-21T12:35:18.166955,785.4424931209159,1.0105023231295218,10.0,5.0,20.0,6409
papua_m59,5.9,BNDI,N,GE_BNDI_BHN_20250726T003354_20250726T003900.mseed,BNDI_N_papua_m59_20211221_122950.mseed,2021-12-21T12:35:18.166955,971.7295945889474,1.0036733607757764,10.0,5.0,20.0,6123
papua_m59,5.9,BNDI,E,GE_BNDI_BHE_20250726T003358_20250726T003909.mseed,BNDI_E_papua_m59_20211221_122950.mseed,2021-12-21T12:35:18.166955,666.8780810612986,0.8408031328700806,10.0,5.0,20.0,6207
sumbawa_m52,5.2,BKB,Z,GE_BKB_BHZ_20220825T041451_20220825T042510.mseed,BKB_Z_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:15.637788,,,10.0,5.0,20.0,12371
sumbawa_m52,5.2,BKB,N,GE_BKB_BHN_20220825T041456_20220825T042502.mseed,BKB_N_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:15.637788,686.7566708813246,0.9021428155072777,10.0,5.0,20.0,12111
sumbawa_m52,5.2,BKB,E,GE_BKB_BHE_20220825T041452_20220825T042501.mseed,BKB_E_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:15.637788,,,10.0,5.0,20.0,12171
sumbawa_m52,5.2,BKNI,Z,GE_BKNI_BHZ_20220825T041459_20220825T042508.mseed,BKNI_Z_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:11.914504,1240.7723904890856,0.9421135905033705,10.0,5.0,20.0,12182
sumbawa_m52,5.2,BKNI,N,GE_BKNI_BHN_20220825T041453_20220825T042503.mseed,BKNI_N_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:11.914504,857.0244308069637,0.7955337590854701,10.0,5.0,20.0,12200
sumbawa_m52,5.2,BKNI,E,GE_BKNI_BHE_20220825T041453_20220825T042509.mseed,BKNI_E_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:11.914504,1331.5939133234276,1.0449111331528194,10.0,5.0,20.0,12318
sumbawa_m52,5.2,PMBI,Z,GE_PMBI_BHZ_20220825T041457_20220825T042506.mseed,PMBI_Z_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:21.224427,4407.119198524133,1.0061113745278212,10.0,5.0,20.0,12182
sumbawa_m52,5.2,PMBI,N,GE_PMBI_BHN_20220825T041453_20220825T042503.mseed,PMBI_N_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:21.224427,2167.745862641652,0.7575353621679018,10.0,5.0,20.0,12194
sumbawa_m52,5.2,PMBI,E,GE_PMBI_BHE_20220825T041451_20220825T042500.mseed,PMBI_E_sumbawa_m52_20211221_122950.mseed,2021-12-21T12:35:21.224427,4183.370779048876,0.6335786517663315,10.0,5.0,20.0,12196
sumut_m58,5.8,SMRI,Z,GE_SMRI_BHZ_20260419T034954_20260419T035507.mseed,SMRI_Z_sumut_m58_20211221_122950.mseed,2021-12-21T12:33:19.535229,2624.772794929115,0.9103193457533226,10.0,5.0,20.0,6264
sumut_m58,5.8,SMRI,N,GE_SMRI_BHN_20260419T034956_20260419T035509.mseed,SMRI_N_sumut_m58_20211221_122950.mseed,2021-12-21T12:33:19.535229,1059.0724550284556,0.7601855459546708,10.0,5.0,20.0,6252
sumut_m58,5.8,SMRI,E,GE_SMRI_BHE_20260419T034951_20260419T035511.mseed,SMRI_E_sumut_m58_20211221_122950.mseed,2021-12-21T12:33:19.535229,876.1813596510714,1.2970463196307491,10.0,5.0,20.0,6407
